"Variables ->","ln_y_star","ln_y_star_sm","ln_ipei","ln_cpi_nosub","ln_y","ln_y_sm","ln_cpi_sub","ln_s","ln_bm","ln_cpi","ln_z","ln_v","ln_ipei_q","d4_ln_y_star","d4_ln_y_star_sm","d4_ln_ipei","i_star","d4_ln_cpi_nosub","d4_ln_y","d4_ln_y_sm","d4_ln_cpi_sub","d4_ln_s","d4_ln_bm","i","d4_ln_cpi","d4_ln_z","d4_ln_v","r","d4_ln_ipei_q","dla_ipei","dla_z","dla_s","dla_cpi_nosub","dla_cpi_sub","dla_cpi","dla_bm","dla_v","dla_ipei_q","s_d4_ln_y_star","s_d4_ln_ipei","s_i_star","s_d4_ln_cpi_nosub","s_d4_ln_y","s_d4_ln_cpi_sub","s_d4_ln_s","s_d4_ln_bm","s_i"
"Comments ->","Producto Interno Bruto Real EEUU (Logaritmo)","Producto Interno Bruto Real EEUU, Suma movil de 4 trimestres (Logaritmo)","Índice de Precios de transables (Logaritmo)","Indice Inflación No subyacente (Logaritmo)","Producto Interno Bruto Real Guatemala (Logaritmo)","Producto Interno Bruto Real Guatemala, Suma movil de 4 trimestres (Logaritmo)","Indice Inflación Subyacente Optima MSE (Logaritmo)","Tipo de Cambio Nominal (Logaritmo)","Base Monetaria (Logaritmo)","Indice de Precios al Consumidor (Logaritmo)","Indice Tipo de Cambio Real (Logaritmo)","Velocidad de circulacion de la Base Monetaria(Logaritmo)","Índice de Precios de Transables GTQ (Logaritmo)","Tasa de Variación Interanual del PIB de EEUU","Tasa de Variación Interanual de la suma de 4 Trimestres del PIB de EEUU","Tasa de Variación Interanual del Índice de Precios de Transables","Tasa de Interes de fondos federales","Inflacion No Subyacente Interanual","Tasa de Variación Interanual del PIB de Guatemala","Tasa de Variación Interanual de la suma de 4 Trimestres del PIB de Guatemala","Inflación Subyacente Optima MSE Interanual","Tasa de Variación Interanual del Tipo de Cambio Nominal","Tasa de Variación Interanual de la Base Monetaria","Tasa de Interes Lider de Politica Monetaria","Inflacion Total Internual","Tasa de Variación Interanual del Tipo de Cambio Real","Tasa de Variación Interanual de la Velocidad de circulacion de la Base Monetaria","Tasa de interes real de Politica Monetaria","Tasa de Variación Interanual del Índice de Precios de Transables en GTQ","Tasa de Variación Intertrimestral Anualizada del Índice de Precios de Transables","Tasa de Variación Intertrimestral Anualizada del Tipo de Cambio Real","Tasa de Variación Intertrimestral Anualizada del Tipo de Cambio Nominal","Inflacion No Subyacente Intertrimestral Anualizada","Inflacion Subyacente Optima MSE Intertrimestral Anualizada","Inflacion Total Intertrimestral Anualizada","Tasa de Variación Intertrimestral Anualizada de la Base Monetaria","Tasa de Variación Intertrimestral Anualizada de la Velocidad de circulacion de la Base Monetaria","Tasa de Variación Intertrimestral Anualizada del Índice de Precios de Transables en GTQ","Shock de crecimiento externo","Shock de precios de transables","Shock de tasa de interes externa","Choque de inflacion no subyacente","Choque de demanda agregada","Choque de inflacion subyacente","Choque cambiario nominal","Choque monetario","Choque de Politica Monetaria"
"Class[Size] ->","tseries[111-by-1]","tseries[111-by-1]","tseries[111-by-1]","tseries[111-by-1]","tseries[111-by-1]","tseries[111-by-1]","tseries[111-by-1]","tseries[111-by-1]","tseries[111-by-1]","tseries[111-by-1]","tseries[111-by-1]","tseries[111-by-1]","tseries[111-by-1]","tseries[111-by-1]","tseries[111-by-1]","tseries[111-by-1]","tseries[111-by-1]","tseries[111-by-1]","tseries[111-by-1]","tseries[111-by-1]","tseries[111-by-1]","tseries[111-by-1]","tseries[111-by-1]","tseries[111-by-1]","tseries[111-by-1]","tseries[111-by-1]","tseries[111-by-1]","tseries[111-by-1]","tseries[111-by-1]","tseries[111-by-1]","tseries[111-by-1]","tseries[111-by-1]","tseries[111-by-1]","tseries[111-by-1]","tseries[111-by-1]","tseries[111-by-1]","tseries[111-by-1]","tseries[111-by-1]","tseries[111-by-1]","tseries[111-by-1]","tseries[111-by-1]","tseries[111-by-1]","tseries[111-by-1]","tseries[111-by-1]","tseries[111-by-1]","tseries[111-by-1]","tseries[111-by-1]"
".endhist","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1"
"2004Q1",964.07598,3849.36389,459.04445,-0.13594,1122.94186,4467.88662,487.62259,205.19027,962.22694,365.48120,-0.20588,1.63325,664.23473,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2004Q2",964.24529,3852.16662,460.81683,-0.00000,1120.04925,4472.76691,488.66202,203.80734,964.78265,366.55912,0.00000,-0.00000,664.62417,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2004Q3",964.61314,3855.06859,462.37445,0.00000,1117.92127,4477.76279,489.50068,204.27514,966.41381,367.74082,-0.00000,-0.00000,666.64959,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2004Q4",965.10256,3858.03697,463.32023,0.13594,1121.92902,4482.84140,490.82262,205.17118,973.94803,369.62363,0.20588,-1.63325,668.49141,2.96837,NaN,6.75208,2.58891,-0.14780,5.07860,NaN,4.82742,-0.80185,16.74050,2.47988,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2005Q1",967.05920,3861.02018,466.28397,-0.13698,1128.05393,4487.95347,492.87762,204.11910,979.09954,370.73518,0.70744,-4.87225,670.40307,2.98322,2.91407,7.23952,2.66000,-0.00104,5.11207,5.01671,5.25503,-1.07117,16.87260,2.63667,5.25398,0.91331,-6.50550,-3.33989,6.16834,11.85497,2.00624,-4.20831,-1.09168,8.21999,4.44619,20.60606,-12.95598,7.64666,0.64883,1.06734,0.05301,-0.26160,0.05513,0.08060,-0.24524,0.34223,-0.02444
"2005Q2",967.55062,3864.32551,468.12732,0.20104,1125.35004,4493.25426,494.37418,202.85860,981.87129,372.47232,0.64959,-6.07569,670.98592,3.30533,3.03972,7.31049,3.13667,0.20104,5.30079,5.12184,5.71216,-0.94874,17.08864,2.85985,5.91320,0.64959,-6.07569,-3.41553,6.36175,7.37340,-0.23138,-5.04200,1.35209,5.98624,6.94856,11.08700,-4.81375,2.33140,0.96435,0.49288,0.43298,-0.21096,0.05409,0.09176,-0.18978,0.67838,-0.05437
"2005Q3",968.33138,3868.04376,470.26472,0.55751,1123.54617,4498.87916,495.73727,202.81465,982.92692,374.53492,0.19319,-4.65162,673.07937,3.71824,3.24379,7.89027,3.62333,0.55751,5.62490,5.27909,6.23659,-1.46049,16.51311,3.33671,6.79410,0.19319,-4.65162,-3.31676,6.42978,8.54960,-1.82561,-0.17580,1.42586,5.45236,8.25040,4.22252,5.69626,8.37380,1.23433,0.78346,0.43351,-0.07587,0.10005,0.16498,-0.63434,0.34747,0.04688
"2005Q4",968.88536,3871.82656,471.00826,0.78809,1127.54751,4504.49765,497.51997,203.25153,989.74180,376.97313,-0.72309,-5.11119,674.25979,3.78280,3.44740,7.68803,4.04667,0.65215,5.61849,5.41406,6.69735,-1.91965,15.79377,3.90152,7.34950,-0.92896,-3.47793,-2.97765,5.76838,2.97416,-3.66511,1.74752,0.92232,7.13080,9.75284,27.25952,-1.83827,4.72168,1.11567,0.24394,0.37957,-0.18497,0.06255,0.16838,-0.85896,0.50491,0.08621
"2006Q1",970.22177,3874.98913,471.33099,0.19938,1132.85217,4509.29589,499.81227,203.03386,995.52633,378.00619,-2.26543,-9.56615,674.36485,3.16257,3.49224,5.04702,4.66333,0.33636,4.79824,5.33561,6.93465,-1.08524,16.42679,4.25000,7.27101,-2.97287,-4.69390,-2.42141,3.96178,1.29092,-6.16939,-0.87068,-2.35484,9.16920,4.13224,23.13812,-17.81984,0.42024,0.46679,-1.67792,0.60472,-0.35282,-0.15911,0.09267,-0.47563,1.77268,-0.04066
"2006Q2",970.48019,3877.91870,473.90189,0.70035,1128.22461,4512.17046,501.15338,202.72693,999.06761,379.75083,-0.48671,-13.61824,676.62882,2.92957,3.39830,5.77457,4.98667,0.49931,2.87457,4.72905,6.77920,-0.13167,17.19632,4.45152,7.27851,-1.13630,-7.54255,-2.22860,5.64290,10.28360,7.11490,-1.22772,2.00389,5.36444,6.97856,14.16512,-16.20835,9.05588,0.50901,1.02020,0.34099,-0.22468,-1.85940,-0.15172,0.38946,2.67546,-0.09329
"2006Q3",970.63003,3880.21735,475.06384,0.41300,1129.95008,4518.57437,502.24951,202.68299,1000.46113,380.90265,-1.65159,-9.26968,677.74683,2.29865,3.04340,4.79912,5.32000,-0.14451,6.40391,4.92380,6.51224,-0.13166,17.53421,4.92857,6.36773,-1.84478,-4.61806,-1.44573,4.66746,4.64780,-4.65953,-0.17576,-1.14942,4.38452,4.60728,5.57408,17.39422,4.47204,-0.01852,-0.04855,0.38107,-0.88428,2.62721,-0.35735,-1.04473,1.58627,0.13669
"2006Q4",971.48581,3882.81780,473.01608,-0.34656,1135.09617,4526.12303,503.22731,202.90249,1009.96415,381.54582,-4.77165,-12.07754,675.91857,2.60045,2.74781,2.00782,5.26333,-1.13465,7.54866,5.40634,5.70734,-0.34904,20.22235,5.00000,4.57269,-4.04856,-6.96635,-0.55194,1.65878,-8.19104,-12.48023,0.87800,-3.03824,3.91120,2.57268,38.01208,-11.23143,-7.31304,0.56324,-2.60538,-0.06715,-0.91038,1.80316,-0.69127,-1.46948,3.80571,0.00559
